category,complexity,model,score,basis,as_of
前端UX设计,中,豆包Seed-2.1-Pro,65.1,幻觉+科学+指令+总分,2026-09-23
前端UX设计,中,Seedream-5.0,,幻觉+科学+指令+总分,2026-09-23
前端UX设计,中,腾讯混元Hy3,61.7,幻觉+科学+指令+总分,2026-09-23
前端UX设计,中,腾讯混元Hy4-preview,,幻觉+科学+指令+总分,2026-09-23
前端UX设计,中,讯飞星火X2.5,,幻觉+科学+指令+总分,2026-09-23
前端UX设计,中,MiniMax-M3,52.5,幻觉+科学+指令+总分,2026-09-23
前端UX设计,高,DeepSeek-V4-Pro-0813,61.0,,2026-09-23
前端UX设计,高,DeepSeek-V4-Flash-0731,53.7,,2026-09-23
前端UX设计,高,DeepSeek-V4.1-Flash-CED,59.2,,2026-09-23
前端UX设计,高,Qwen3.8-Max-0902,61.5,,2026-09-23
前端UX设计,高,Kimi-K3,58.3,,2026-09-23
前端UX设计,高,Kimi-K2.7-Code,,,2026-09-23
前端UX设计,高,GLM-5.2,51.8,,2026-09-23
前端UX设计,高,GLM-5.3,58.4,,2026-09-23
前端UX设计,高,GLM-5.3-Flash,55.1,,2026-09-23
前端UX设计,高,豆包Seed-2.1-Pro,58.5,,2026-09-23
前端UX设计,高,Seedream-5.0,,,2026-09-23
前端UX设计,高,腾讯混元Hy3,54.7,,2026-09-23
前端UX设计,高,腾讯混元Hy4-preview,,,2026-09-23
前端UX设计,高,讯飞星火X2.5,,,2026-09-23
前端UX设计,高,MiniMax-M3,44.7,,2026-09-23
文书撰写,低,DeepSeek-V4-Pro-0813,76.1,,2026-09-23
文书撰写,低,DeepSeek-V4-Flash-0731,68.5,,2026-09-23
文书撰写,低,DeepSeek-V4.1-Flash-CED,74.4,,2026-09-23
文书撰写,低,Qwen3.8-Max-0902,76.1,,2026-09-23
文书撰写,低,Kimi-K3,73.2,,2026-09-23
文书撰写,低,Kimi-K2.7-Code,,,2026-09-23
文书撰写,低,GLM-5.2,67.2,,2026-09-23
文书撰写,低,GLM-5.3,72.5,,2026-09-23
文书撰写,低,GLM-5.3-Flash,70.2,,2026-09-23
文书撰写,低,豆包Seed-2.1-Pro,72.3,,2026-09-23
文书撰写,低,Seedream-5.0,,,2026-09-23
文书撰写,低,腾讯混元Hy3,69.1,,2026-09-23
文书撰写,低,腾讯混元Hy4-preview,,,2026-09-23
文书撰写,低,讯飞星火X2.5,,,2026-09-23
文书撰写,低,MiniMax-M3,59.5,,2026-09-23
文书撰写,中,DeepSeek-V4-Pro-0813,70.5,幻觉+科学+指令+总分,2026-09-23
文书撰写,中,DeepSeek-V4-Flash-0731,63.4,幻觉+科学+指令+总分,2026-09-23
文书撰写,中,DeepSeek-V4.1-Flash-CED,68.9,幻觉+科学+指令+总分,2026-09-23
文书撰写,中,Qwen3.8-Max-0902,70.5,幻觉+科学+指令+总分,2026-09-23
文书撰写,中,Kimi-K3,67.8,幻觉+科学+指令+总分,2026-09-23
文书撰写,中,Kimi-K2.7-Code,,幻觉+科学+指令+总分,2026-09-23
文书撰写,中,GLM-5.2,62.2,幻觉+科学+指令+总分,2026-09-23
文书撰写,中,GLM-5.3,67.1,幻觉+科学+指令+总分,2026-09-23
文书撰写,中,GLM-5.3-Flash,65.0,幻觉+科学+指令+总分,2026-09-23
文书撰写,中,豆包Seed-2.1-Pro,66.9,幻觉+科学+指令+总分,2026-09-23
文书撰写,中,Seedream-5.0,,幻觉+科学+指令+总分,2026-09-23
文书撰写,中,腾讯混元Hy3,64.0,幻觉+科学+指令+总分,2026-09-23
文书撰写,中,腾讯混元Hy4-preview,,幻觉+科学+指令+总分,2026-09-23
文书撰写,中,讯飞星火X2.5,,幻觉+科学+指令+总分,2026-09-23
文书撰写,中,MiniMax-M3,55.1,幻觉+科学+指令+总分,2026-09-23
文书撰写,高,DeepSeek-V4-Pro-0813,64.6,,2026-09-23
文书撰写,高,DeepSeek-V4-Flash-0731,56.6,,2026-09-23
文书撰写,高,DeepSeek-V4.1-Flash-CED,62.8,,2026-09-23
文书撰写,高,Qwen3.8-Max-0902,64.6,,2026-09-23
文书撰写,高,Kimi-K3,61.5,,2026-09-23
文书撰写,高,Kimi-K2.7-Code,,,2026-09-23
文书撰写,高,GLM-5.2,55.2,,2026-09-23
文书撰写,高,GLM-5.3,60.7,,2026-09-23
文书撰写,高,GLM-5.3-Flash,58.4,,2026-09-23
文书撰写,高,豆包Seed-2.1-Pro,60.5,,2026-09-23
文书撰写,高,Seedream-5.0,,,2026-09-23
文书撰写,高,腾讯混元Hy3,57.2,,2026-09-23
文书撰写,高,腾讯混元Hy4-preview,,,2026-09-23
文书撰写,高,讯飞星火X2.5,,,2026-09-23
文书撰写,高,MiniMax-M3,47.5,,2026-09-23
数据分析,低,DeepSeek-V4-Pro-0813,76.7,,2026-09-23
数据分析,低,DeepSeek-V4-Flash-0731,72.4,,2026-09-23
数据分析,低,DeepSeek-V4.1-Flash-CED,76.7,,2026-09-23
数据分析,低,Qwen3.8-Max-0902,77.8,,2026-09-23
数据分析,低,Kimi-K3,72.9,,2026-09-23
数据分析,低,Kimi-K2.7-Code,,,2026-09-23
数据分析,低,GLM-5.2,68.8,,2026-09-23
数据分析,低,GLM-5.3,73.3,,2026-09-23
数据分析,低,GLM-5.3-Flash,72.7,,2026-09-23
数据分析,低,豆包Seed-2.1-Pro,75.8,,2026-09-23
数据分析,低,Seedream-5.0,,,2026-09-23
数据分析,低,腾讯混元Hy3,74.1,,2026-09-23
数据分析,低,腾讯混元Hy4-preview,,,2026-09-23
数据分析,低,讯飞星火X2.5,,,2026-09-23
数据分析,低,MiniMax-M3,65.0,,2026-09-23
数据分析,中,DeepSeek-V4-Pro-0813,71.0,数学+幻觉+科学+指令,2026-09-23
数据分析,中,DeepSeek-V4-Flash-0731,67.0,数学+幻觉+科学+指令,2026-09-23
数据分析,中,DeepSeek-V4.1-Flash-CED,71.0,数学+幻觉+科学+指令,2026-09-23
数据分析,中,Qwen3.8-Max-0902,72.0,数学+幻觉+科学+指令,2026-09-23
数据分析,中,Kimi-K3,67.5,数学+幻觉+科学+指令,2026-09-23
数据分析,中,Kimi-K2.7-Code,,数学+幻觉+科学+指令,2026-09-23
数据分析,中,GLM-5.2,63.7,数学+幻觉+科学+指令,2026-09-23
数据分析,中,GLM-5.3,67.9,数学+幻觉+科学+指令,2026-09-23
数据分析,中,GLM-5.3-Flash,67.3,数学+幻觉+科学+指令,2026-09-23
数据分析,中,豆包Seed-2.1-Pro,70.2,数学+幻觉+科学+指令,2026-09-23
数据分析,中,Seedream-5.0,,数学+幻觉+科学+指令,2026-09-23
数据分析,中,腾讯混元Hy3,68.6,数学+幻觉+科学+指令,2026-09-23
数据分析,中,腾讯混元Hy4-preview,,数学+幻觉+科学+指令,2026-09-23
数据分析,中,讯飞星火X2.5,,数学+幻觉+科学+指令,2026-09-23
数据分析,中,MiniMax-M3,60.2,数学+幻觉+科学+指令,2026-09-23
数据分析,高,DeepSeek-V4-Pro-0813,65.2,,2026-09-23
数据分析,高,DeepSeek-V4-Flash-0731,60.6,,2026-09-23
数据分析,高,DeepSeek-V4.1-Flash-CED,65.2,,2026-09-23
数据分析,高,Qwen3.8-Max-0902,66.3,,2026-09-23
数据分析,高,Kimi-K3,61.2,,2026-09-23
数据分析,高,Kimi-K2.7-Code,,,2026-09-23
数据分析,高,GLM-5.2,56.9,,2026-09-23
数据分析,高,GLM-5.3,61.6,,2026-09-23
数据分析,高,GLM-5.3-Flash,61.0,,2026-09-23
数据分析,高,豆包Seed-2.1-Pro,64.3,,2026-09-23
数据分析,高,Seedream-5.0,,,2026-09-23
数据分析,高,腾讯混元Hy3,62.4,,2026-09-23
数据分析,高,腾讯混元Hy4-preview,,,2026-09-23
数据分析,高,讯飞星火X2.5,,,2026-09-23
数据分析,高,MiniMax-M3,53.0,,2026-09-23
数学推理,低,DeepSeek-V4-Pro-0813,83.7,,2026-09-23
数学推理,低,DeepSeek-V4-Flash-0731,82.3,,2026-09-23
数学推理,低,DeepSeek-V4.1-Flash-CED,86.8,,2026-09-23
数学推理,低,Qwen3.8-Max-0902,85.3,,2026-09-23
数学推理,低,Kimi-K3,79.1,,2026-09-23
数学推理,低,Kimi-K2.7-Code,,,2026-09-23
数学推理,低,GLM-5.2,76.9,,2026-09-23
数学推理,低,GLM-5.3,79.3,,2026-09-23
数学推理,低,GLM-5.3-Flash,81.4,,2026-09-23
数学推理,低,豆包Seed-2.1-Pro,82.6,,2026-09-23
数学推理,低,Seedream-5.0,,,2026-09-23
数学推理,低,腾讯混元Hy3,83.2,,2026-09-23
数学推理,低,腾讯混元Hy4-preview,,,2026-09-23
数学推理,低,讯飞星火X2.5,,,2026-09-23
数学推理,低,MiniMax-M3,75.8,,2026-09-23
数学推理,中,DeepSeek-V4-Pro-0813,77.5,数学+幻觉+科学,2026-09-23
数学推理,中,DeepSeek-V4-Flash-0731,76.2,数学+幻觉+科学,2026-09-23
数学推理,中,DeepSeek-V4.1-Flash-CED,80.4,数学+幻觉+科学,2026-09-23
数学推理,中,Qwen3.8-Max-0902,79.0,数学+幻觉+科学,2026-09-23
数学推理,中,Kimi-K3,73.2,数学+幻觉+科学,2026-09-23
数学推理,中,Kimi-K2.7-Code,,数学+幻觉+科学,2026-09-23
数学推理,中,GLM-5.2,71.2,数学+幻觉+科学,2026-09-23
数学推理,中,GLM-5.3,73.4,数学+幻觉+科学,2026-09-23
数学推理,中,GLM-5.3-Flash,75.4,数学+幻觉+科学,2026-09-23
数学推理,中,豆包Seed-2.1-Pro,76.5,数学+幻觉+科学,2026-09-23
数学推理,中,Seedream-5.0,,数学+幻觉+科学,2026-09-23
数学推理,中,腾讯混元Hy3,77.0,数学+幻觉+科学,2026-09-23
数学推理,中,腾讯混元Hy4-preview,,数学+幻觉+科学,2026-09-23
数学推理,中,讯飞星火X2.5,,数学+幻觉+科学,2026-09-23
数学推理,中,MiniMax-M3,70.2,数学+幻觉+科学,2026-09-23
数学推理,高,DeepSeek-V4-Pro-0813,72.7,,2026-09-23
数学推理,高,DeepSeek-V4-Flash-0731,71.2,,2026-09-23
数学推理,高,DeepSeek-V4.1-Flash-CED,76.1,,2026-09-23
数学推理,高,Qwen3.8-Max-0902,74.5,,2026-09-23
数学推理,高,Kimi-K3,67.7,,2026-09-23
数学推理,高,Kimi-K2.7-Code,,,2026-09-23
数学推理,高,GLM-5.2,65.4,,2026-09-23
数学推理,高,GLM-5.3,67.9,,2026-09-23
数学推理,高,GLM-5.3-Flash,70.3,,2026-09-23
数学推理,高,豆包Seed-2.1-Pro,71.5,,2026-09-23
数学推理,高,Seedream-5.0,,,2026-09-23
数学推理,高,腾讯混元Hy3,72.1,,2026-09-23
数学推理,高,腾讯混元Hy4-preview,,,2026-09-23
数学推理,高,讯飞星火X2.5,,,2026-09-23
数学推理,高,MiniMax-M3,64.3,,2026-09-23
Agent编排,低,DeepSeek-V4-Pro-0813,77.8,,2026-09-23
Agent编排,低,DeepSeek-V4-Flash-0731,71.1,,2026-09-23
Agent编排,低,DeepSeek-V4.1-Flash-CED,76.6,,2026-09-23
Agent编排,低,Qwen3.8-Max-0902,80.9,,2026-09-23
Agent编排,低,Kimi-K3,79.4,,2026-09-23
Agent编排,低,Kimi-K2.7-Code,,,2026-09-23
Agent编排,低,GLM-5.2,65.1,,2026-09-23
Agent编排,低,GLM-5.3,81.6,,2026-09-23
Agent编排,低,GLM-5.3-Flash,76.2,,2026-09-23
Agent编排,低,豆包Seed-2.1-Pro,72.7,,2026-09-23
Agent编排,低,Seedream-5.0,,,2026-09-23
Agent编排,低,腾讯混元Hy3,62.1,,2026-09-23
Agent编排,低,腾讯混元Hy4-preview,,,2026-09-23
Agent编排,低,讯飞星火X2.5,,,2026-09-23
Agent编排,低,MiniMax-M3,61.8,,2026-09-23
Agent编排,中,DeepSeek-V4-Pro-0813,72.0,幻觉+指令+Agentic编程+Agent规划,2026-09-23
Agent编排,中,DeepSeek-V4-Flash-0731,65.8,幻觉+指令+Agentic编程+Agent规划,2026-09-23
Agent编排,中,DeepSeek-V4.1-Flash-CED,70.9,幻觉+指令+Agentic编程+Agent规划,2026-09-23
Agent编排,中,Qwen3.8-Max-0902,74.9,幻觉+指令+Agentic编程+Agent规划,2026-09-23
Agent编排,中,Kimi-K3,73.5,幻觉+指令+Agentic编程+Agent规划,2026-09-23
Agent编排,中,Kimi-K2.7-Code,,幻觉+指令+Agentic编程+Agent规划,2026-09-23
Agent编排,中,GLM-5.2,60.3,幻觉+指令+Agentic编程+Agent规划,2026-09-23
Agent编排,中,GLM-5.3,75.6,幻觉+指令+Agentic编程+Agent规划,2026-09-23
Agent编排,中,GLM-5.3-Flash,70.6,幻觉+指令+Agentic编程+Agent规划,2026-09-23
Agent编排,中,豆包Seed-2.1-Pro,67.3,幻觉+指令+Agentic编程+Agent规划,2026-09-23
Agent编排,中,Seedream-5.0,,幻觉+指令+Agentic编程+Agent规划,2026-09-23
Agent编排,中,腾讯混元Hy3,57.5,幻觉+指令+Agentic编程+Agent规划,2026-09-23
Agent编排,中,腾讯混元Hy4-preview,,幻觉+指令+Agentic编程+Agent规划,2026-09-23
Agent编排,中,讯飞星火X2.5,,幻觉+指令+Agentic编程+Agent规划,2026-09-23
Agent编排,中,MiniMax-M3,57.2,幻觉+指令+Agentic编程+Agent规划,2026-09-23
Agent编排,高,DeepSeek-V4-Pro-0813,66.3,,2026-09-23
Agent编排,高,DeepSeek-V4-Flash-0731,59.3,,2026-09-23
Agent编排,高,DeepSeek-V4.1-Flash-CED,65.1,,2026-09-23
Agent编排,高,Qwen3.8-Max-0902,69.7,,2026-09-23
Agent编排,高,Kimi-K3,68.1,,2026-09-23
Agent编排,高,Kimi-K2.7-Code,,,2026-09-23
Agent编排,高,GLM-5.2,53.1,,2026-09-23
Agent编排,高,GLM-5.3,70.5,,2026-09-23
Agent编排,高,GLM-5.3-Flash,64.7,,2026-09-23
Agent编排,高,豆包Seed-2.1-Pro,61.0,,2026-09-23
Agent编排,高,Seedream-5.0,,,2026-09-23
Agent编排,高,腾讯混元Hy3,50.1,,2026-09-23
Agent编排,高,腾讯混元Hy4-preview,,,2026-09-23
Agent编排,高,讯飞星火X2.5,,,2026-09-23
Agent编排,高,MiniMax-M3,49.7,,2026-09-23
长文档处理,低,DeepSeek-V4-Pro-0813,75.1,,2026-09-23
长文档处理,低,DeepSeek-V4-Flash-0731,67.7,,2026-09-23
长文档处理,低,DeepSeek-V4.1-Flash-CED,73.5,,2026-09-23
长文档处理,低,Qwen3.8-Max-0902,75.4,,2026-09-23
长文档处理,低,Kimi-K3,72.5,,2026-09-23
长文档处理,低,Kimi-K2.7-Code,,,2026-09-23
长文档处理,低,GLM-5.2,66.2,,2026-09-23
长文档处理,低,GLM-5.3,72.0,,2026-09-23
长文档处理,低,GLM-5.3-Flash,69.4,,2026-09-23
长文档处理,低,豆包Seed-2.1-Pro,71.6,,2026-09-23
长文档处理,低,Seedream-5.0,,,2026-09-23
长文档处理,低,腾讯混元Hy3,68.3,,2026-09-23
长文档处理,低,腾讯混元Hy4-preview,,,2026-09-23
长文档处理,低,讯飞星火X2.5,,,2026-09-23
长文档处理,低,MiniMax-M3,58.8,,2026-09-23
长文档处理,中,DeepSeek-V4-Pro-0813,69.5,幻觉+科学+指令+总分,2026-09-23
长文档处理,中,DeepSeek-V4-Flash-0731,62.7,幻觉+科学+指令+总分,2026-09-23
长文档处理,中,DeepSeek-V4.1-Flash-CED,68.1,幻觉+科学+指令+总分,2026-09-23
长文档处理,中,Qwen3.8-Max-0902,69.8,幻觉+科学+指令+总分,2026-09-23
长文档处理,中,Kimi-K3,67.1,幻觉+科学+指令+总分,2026-09-23
长文档处理,中,Kimi-K2.7-Code,,幻觉+科学+指令+总分,2026-09-23
长文档处理,中,GLM-5.2,61.3,幻觉+科学+指令+总分,2026-09-23
长文档处理,中,GLM-5.3,66.7,幻觉+科学+指令+总分,2026-09-23
长文档处理,中,GLM-5.3-Flash,64.3,幻觉+科学+指令+总分,2026-09-23
长文档处理,中,豆包Seed-2.1-Pro,66.3,幻觉+科学+指令+总分,2026-09-23
长文档处理,中,Seedream-5.0,,幻觉+科学+指令+总分,2026-09-23
长文档处理,中,腾讯混元Hy3,63.2,幻觉+科学+指令+总分,2026-09-23
长文档处理,中,腾讯混元Hy4-preview,,幻觉+科学+指令+总分,2026-09-23
长文档处理,中,讯飞星火X2.5,,幻觉+科学+指令+总分,2026-09-23
长文档处理,中,MiniMax-M3,54.4,幻觉+科学+指令+总分,2026-09-23
长文档处理,高,DeepSeek-V4-Pro-0813,63.5,,2026-09-23
长文档处理,高,DeepSeek-V4-Flash-0731,55.8,,2026-09-23
长文档处理,高,DeepSeek-V4.1-Flash-CED,61.9,,2026-09-23
长文档处理,高,Qwen3.8-Max-0902,63.8,,2026-09-23
长文档处理,高,Kimi-K3,60.7,,2026-09-23
长文档处理,高,Kimi-K2.7-Code,,,2026-09-23
长文档处理,高,GLM-5.2,54.2,,2026-09-23
长文档处理,高,GLM-5.3,60.3,,2026-09-23
长文档处理,高,GLM-5.3-Flash,57.6,,2026-09-23
长文档处理,高,豆包Seed-2.1-Pro,59.8,,2026-09-23
长文档处理,高,Seedream-5.0,,,2026-09-23
长文档处理,高,腾讯混元Hy3,56.4,,2026-09-23
长文档处理,高,腾讯混元Hy4-preview,,,2026-09-23
长文档处理,高,讯飞星火X2.5,,,2026-09-23
长文档处理,高,MiniMax-M3,46.7,,2026-09-23
翻译润色,低,DeepSeek-V4-Pro-0813,73.7,,2026-09-23
翻译润色,低,DeepSeek-V4-Flash-0731,66.1,,2026-09-23
翻译润色,低,DeepSeek-V4.1-Flash-CED,71.8,,2026-09-23
翻译润色,低,Qwen3.8-Max-0902,73.8,,2026-09-23
翻译润色,低,Kimi-K3,70.8,,2026-09-23
翻译润色,低,Kimi-K2.7-Code,,,2026-09-23
翻译润色,低,GLM-5.2,64.5,,2026-09-23
翻译润色,低,GLM-5.3,70.4,,2026-09-23
翻译润色,低,GLM-5.3-Flash,67.4,,2026-09-23
翻译润色,低,豆包Seed-2.1-Pro,70.3,,2026-09-23
翻译润色,低,Seedream-5.0,,,2026-09-23
翻译润色,低,腾讯混元Hy3,66.7,,2026-09-23
翻译润色,低,腾讯混元Hy4-preview,,,2026-09-23
翻译润色,低,讯飞星火X2.5,,,2026-09-23
翻译润色,低,MiniMax-M3,56.7,,2026-09-23
翻译润色,中,DeepSeek-V4-Pro-0813,68.2,幻觉+科学+指令+总分,2026-09-23
翻译润色,中,DeepSeek-V4-Flash-0731,61.2,幻觉+科学+指令+总分,2026-09-23
翻译润色,中,DeepSeek-V4.1-Flash-CED,66.5,幻觉+科学+指令+总分,2026-09-23
翻译润色,中,Qwen3.8-Max-0902,68.3,幻觉+科学+指令+总分,2026-09-23
翻译润色,中,Kimi-K3,65.6,幻觉+科学+指令+总分,2026-09-23
翻译润色,中,Kimi-K2.7-Code,,幻觉+科学+指令+总分,2026-09-23
翻译润色,中,GLM-5.2,59.7,幻觉+科学+指令+总分,2026-09-23
翻译润色,中,GLM-5.3,65.2,幻觉+科学+指令+总分,2026-09-23
翻译润色,中,GLM-5.3-Flash,62.4,幻觉+科学+指令+总分,2026-09-23
翻译润色,中,豆包Seed-2.1-Pro,65.1,幻觉+科学+指令+总分,2026-09-23
翻译润色,中,Seedream-5.0,,幻觉+科学+指令+总分,2026-09-23
翻译润色,中,腾讯混元Hy3,61.8,幻觉+科学+指令+总分,2026-09-23
翻译润色,中,腾讯混元Hy4-preview,,幻觉+科学+指令+总分,2026-09-23
翻译润色,中,讯飞星火X2.5,,幻觉+科学+指令+总分,2026-09-23
翻译润色,中,MiniMax-M3,52.5,幻觉+科学+指令+总分,2026-09-23
翻译润色,高,DeepSeek-V4-Pro-0813,62.0,,2026-09-23
翻译润色,高,DeepSeek-V4-Flash-0731,54.1,,2026-09-23
翻译润色,高,DeepSeek-V4.1-Flash-CED,60.1,,2026-09-23
翻译润色,高,Qwen3.8-Max-0902,62.1,,2026-09-23
翻译润色,高,Kimi-K3,59.0,,2026-09-23
翻译润色,高,Kimi-K2.7-Code,,,2026-09-23
翻译润色,高,GLM-5.2,52.5,,2026-09-23
翻译润色,高,GLM-5.3,58.6,,2026-09-23
翻译润色,高,GLM-5.3-Flash,55.5,,2026-09-23
翻译润色,高,豆包Seed-2.1-Pro,58.5,,2026-09-23
翻译润色,高,Seedream-5.0,,,2026-09-23
翻译润色,高,腾讯混元Hy3,54.8,,2026-09-23
翻译润色,高,腾讯混元Hy4-preview,,,2026-09-23
翻译润色,高,讯飞星火X2.5,,,2026-09-23
翻译润色,高,MiniMax-M3,44.7,,2026-09-23
多模态理解,低,DeepSeek-V4-Pro-0813,,,2026-09-23
多模态理解,低,DeepSeek-V4-Flash-0731,,,2026-09-23
多模态理解,低,DeepSeek-V4.1-Flash-CED,61.0,,2026-09-23
多模态理解,低,Qwen3.8-Max-0902,,,2026-09-23
多模态理解,低,Kimi-K3,79.7,,2026-09-23
多模态理解,低,Kimi-K2.7-Code,,,2026-09-23
多模态理解,低,GLM-5.2,,,2026-09-23
多模态理解,低,GLM-5.3,,,2026-09-23
多模态理解,低,GLM-5.3-Flash,,,2026-09-23
多模态理解,低,豆包Seed-2.1-Pro,,,2026-09-23
多模态理解,低,Seedream-5.0,,,2026-09-23
多模态理解,低,腾讯混元Hy3,,,2026-09-23
多模态理解,低,腾讯混元Hy4-preview,,,2026-09-23
多模态理解,低,讯飞星火X2.5,,,2026-09-23
多模态理解,低,MiniMax-M3,,,2026-09-23
多模态理解,中,DeepSeek-V4-Pro-0813,,纯文本模型无VLM分,2026-09-23
多模态理解,中,DeepSeek-V4-Flash-0731,,纯文本模型无VLM分,2026-09-23
多模态理解,中,DeepSeek-V4.1-Flash-CED,56.5,纯文本模型无VLM分,2026-09-23
多模态理解,中,Qwen3.8-Max-0902,,纯文本模型无VLM分,2026-09-23
多模态理解,中,Kimi-K3,73.8,纯文本模型无VLM分,2026-09-23
多模态理解,中,Kimi-K2.7-Code,,纯文本模型无VLM分,2026-09-23
多模态理解,中,GLM-5.2,,纯文本模型无VLM分,2026-09-23
多模态理解,中,GLM-5.3,,纯文本模型无VLM分,2026-09-23
多模态理解,中,GLM-5.3-Flash,,纯文本模型无VLM分,2026-09-23
多模态理解,中,豆包Seed-2.1-Pro,,纯文本模型无VLM分,2026-09-23
多模态理解,中,Seedream-5.0,,纯文本模型无VLM分,2026-09-23
多模态理解,中,腾讯混元Hy3,,纯文本模型无VLM分,2026-09-23
多模态理解,中,腾讯混元Hy4-preview,,纯文本模型无VLM分,2026-09-23
